.static-analysis/vulture-allowlist.py:7: unused class '_Module' (60% confidence)
.static-analysis/vulture-allowlist.py:8: unused method 'forward' (60% confidence)
.static-analysis/vulture-allowlist.py:9: unused method 'streaming_forward' (60% confidence)
.static-analysis/vulture-allowlist.py:10: unused method 'extra_repr' (60% confidence)
.static-analysis/vulture-allowlist.py:11: unused method 'get_init_states' (60% confidence)
.static-analysis/vulture-allowlist.py:12: unused method 'get_last_lr' (60% confidence)
.static-analysis/vulture-allowlist.py:16: unused method 'step_batch' (60% confidence)
.static-analysis/vulture-allowlist.py:17: unused method 'step_epoch' (60% confidence)
eval/common.py:62: unused attribute 'requires_grad' (60% confidence)
eval/eval_asr.py:171: unused variable 'targets' (100% confidence)
eval/run_probes.py:38: unused variable 'proc' (60% confidence)
losses/multires_stft.py:52: unused method 'forward' (60% confidence)
models/conformer.py:37: unused method 'forward' (60% confidence)
models/conformer.py:70: unused method 'forward' (60% confidence)
models/conformer.py:111: unused method 'forward' (60% confidence)
models/conformer.py:129: unused method 'forward' (60% confidence)
models/conformer.py:168: unused method 'forward' (60% confidence)
models/decoder_generator.py:30: unused method 'forward' (60% confidence)
models/decoder_generator.py:47: unused method 'forward' (60% confidence)
models/decoder_generator.py:103: unused method 'forward' (60% confidence)
models/discriminators.py:26: unused method 'forward' (60% confidence)
models/discriminators.py:58: unused method 'forward' (60% confidence)
models/discriminators.py:75: unused method 'forward' (60% confidence)
models/discriminators.py:91: unused method 'forward' (60% confidence)
models/encoder.py:77: unused method 'forward' (60% confidence)
models/frontend_conv.py:39: unused method 'forward' (60% confidence)
models/mhc.py:86: unused method 'forward' (60% confidence)
models/projector.py:45: unused method 'forward' (60% confidence)
models/sigreg.py:40: unused method 'forward' (60% confidence)
models/sigreg.py:69: unused method 'forward' (60% confidence)
models/sigreg.py:103: unused method 'forward' (60% confidence)
train.py:57: unused function '_pool_utt' (60% confidence)
train.py:141: unused function '_pool' (60% confidence)
train.py:151: unused attribute 'requires_grad' (60% confidence)
train.py:162: unused attribute 'benchmark' (60% confidence)
utils/schema.py:10: unused variable 'model_config' (60% confidence)
utils/schema.py:151: unused variable 'vocab_bootstrap_samples' (60% confidence)
utils/schema.py:231: unused variable 'model_config' (60% confidence)
